year1975,year,fatal,miles,rate
1,1976,24,3.863,6.213
2,1977,25,4.300,5.814
3,1978,31,5.027,6.167
4,1979,31,5.481,5.656
5,1980,22,5.814,3.784
6,1981,21,6.033,3.481
7,1982,26,5.877,4.424
8,1983,20,6.223,3.214
9,1984,16,7.433,2.152
10,1985,22,7.107,3.096
11,1986,22,9.100,2.418
12,1987,25,10.000,2.500
13,1988,29,10.600,2.736
14,1989,29,10.988,2.639
15,1990,27,10.880,2.482
16,1991,29,10.633,2.727
17,1992,28,11.956,2.342
18,1993,33,12.343,2.674
19,1994,27,13.011,2.075
20,1995,25,14.220,1.758
21,1996,24,16.371,1.466
22,1997,26,15.483,1.679
23,1998,20,18.080,1.106
24,1999,21,16.633,1.263
25,2000,18,18.875,0.954
26,2001,13,19.233,0.676
