trinum trial2 trial muf sdf fixran
9 1_Morton Morton -0.830348302 1.246105043 F
9 1_Morton Morton -0.637621211 0.388130338 R
8 2_Rasmussen Rasmussen -1.056052674 0.411587399 F
8 2_Rasmussen Rasmussen -0.83480295 0.289920232 R
7 3_Smith Smith -1.27833981 0.807995757 F
7 3_Smith Smith -0.751534041 0.36452103 R
6 4_Abraham Abraham -0.043485112 1.429185944 F
6 4_Abraham Abraham -0.573615346 0.392725381 R
5 5_Feldstedt Feldstedt 0.223143551 0.488286211 F
5 5_Feldstedt Feldstedt -0.271088685 0.313291459 R
4 6_Schechter Schechter -2.407519986 1.070475318 F
4 6_Schechter Schechter -0.844473574 0.381613467 R
3 7_Ceremuzynski Ceremuzynski -1.280933845 1.190298952 F
3 7_Ceremuzynski Ceremuzynski -0.686866429 0.386336048 R
2 8_LIMIT-2 LIMIT-2 -0.299339874 0.145989056 F
2 8_LIMIT-2 LIMIT-2 -0.335314627 0.137471806 R
1 9_Overall Overall -0.405839947 0.127763633 F
1 9_Overall Overall -0.616914608 0.263485332 R
