item repl co pulse
1 1 78 71
1 2 76.4 72
1 3 77.2 73
2 1 68.7 68
2 2 67.6 67
2 3 68.3 68
3 1 82.9 82
3 2 80.1 77
3 3 80.7 77
4 1 62.3 43
4 2 65.8 69
4 3 67.5 77
5 1 75.8 76
5 2 73.7 72
5 3 76.3 68
6 1 78 79
6 2 78.8 78
6 3 77.3 78
7 1 86.3 84
7 2 84.3 82
7 3 88 82
8 1 79.2 74
8 2 79 74
8 3 85.3 77
9 1 71 70
9 2 70.4 70
9 3 72.1 71
10 1 55 63
10 2 53.1 72
10 3 50.6 78
11 1 86.8 82
11 2 90 85
11 3 92.5 88
12 1 22.2 24
12 2 25.1 28
12 3 32.1 36
13 1 79.5 70
13 2 82.6 71
13 3 86.8 75
14 1 71.4 80
14 2 73 80
14 3 66.6 76
15 1 83.8 80
15 2 84.1 78
15 3 82.3 77
16 1 76.2 64
16 2 78 66
16 3 82.7 75
17 1 86.8 86
17 2 93.1 89
18 1 78.6 72
18 2 78.3 74
18 3 79 75
19 1 71.8 71
19 2 74.2 75
19 3 74 71
20 1 73.8 68
20 2 77.6 75
21 1 73 75
21 2 79 80
21 3 93.4 88
22 1 77.6 65
22 2 82.7 86
22 3 69 65
23 1 78.5 79
23 2 79.8 82
23 3 79.5 79
24 1 82.2 80
24 2 85.9 84
24 3 86 80
25 1 85.7 78
25 2 71.5 72
26 1 78.6 76
26 2 78.7 77
26 3 79.2 76
27 1 64.4 54
27 2 70.1 55
27 3 72.8 67
28 1 60 57
28 2 62 70
28 3 66.5 71
29 1 78.1 75
29 2 77.2 75
29 3 76.7 71
30 1 79.4 72
30 2 81.3 72
30 3 83.2 74
31 1 49.5 28
31 2 44.5 46
31 3 44.9 61
32 1 85.2 76
32 2 83.1 79
32 3 81.7 76
33 1 81.3 85
33 2 82.2 80
33 3 81.1 82
34 1 86.9 82
34 2 86.4 79
34 3 85.4 80
35 1 81.5 79
35 2 73.1 67
35 3 81.1 71
36 1 84.1 76
36 2 71.5 75
36 3 88.2 70
37 1 87.3 80
37 2 79.6 80
37 3 75 68
38 1 84.5 81
38 2 82.8 84
38 3 80.7 82
39 1 77.3 79
40 1 67.1 62
40 2 68.4 63
40 3 71.1 64
41 1 78.7 71
41 2 77.1 70
41 3 78.2 71
42 1 65 73
42 2 75 74
42 3 67.5 71
43 1 52.3 59
43 2 50.8 57
43 3 52.1 57
44 1 57 60
44 2 56.9 60
44 3 58.6 61
45 1 75.8 74
45 2 79.5 75
45 3 81 75
46 1 84.9 77
46 2 78.6 77
46 3 81.3 76
47 1 80.1 76
47 2 78.9 78
47 3 79.4 77
48 1 69 67
48 2 69.6 73
48 3 72.8 82
49 1 90.2 84
49 2 87.9 83
49 3 87.4 77
50 1 52.6 45
50 2 50.8 51
51 1 56.6 44
51 2 59.9 52
51 3 59.5 48
52 1 72.2 67
52 2 79 73
52 3 79.3 75
53 1 68.7 71
53 2 75.8 76
53 3 67.5 70
54 1 91.5 92
54 2 57.9 65
54 3 76.4 77
55 1 90.2 92
55 2 86.5 85
55 3 85.7 88
56 1 84.6 84
56 2 85.6 82
56 3 87.4 84
57 1 93.5 92
57 2 91.5 90
57 3 80.8 82
58 1 88.3 84
58 2 89.9 87
58 3 91.3 89
59 1 89.4 94
59 2 89.5 89
59 3 91.6 91
60 1 87.2 79
60 2 83.5 77
60 3 84.7 80
61 1 75.9 72
61 2 76.7 70
61 3 74.3 68
