r notes chap 7
Reading Data From Files

HousePrices
(houses.data)

	price	Floor	Area	Rooms	Age	Cent.heat
01	52.00	111.1	830	5	6.1	Yes
02	54.57	120.0	690	5	5.9	Yes
03	49.98	115.2	830	6	5.6	No
04	56.00	110.1	790	6	5.2	No	
05 	59.12	109.3	750	4	6.1	Yes
06  	56.12 	107.4	748	5	6.0	Yes
07   	49.65	112.0	690	5	7.8	Yes
08    	48.99	110.1	685	5	8.1	Yes
09	60.00	140.8	900	8	7.4	No
10 	53.00	125.0	820	7	2.3	No
11	52.12	120.1	790	5	5.4	Yes
12	52.34	120.1	790	5	5.6	Yes
13	53.10	119.1	785	5	6.7	No	
14	54.55	118.1	770	5	7.8	No
15	55.11	118.0	765	5	8.9	Yes
16	55.90	118.1	770	5	2.6	Yes
17	61.00	93.0	600	5	7.6	Yes	
18	60.50	124.5	810	5	4.5	No
19 	60.00	124.0	800	5	7.6	No
20	47.50	124.25	805	5	12.6	No


HousePrice <- read.table("houses.data")
