GSIName,OrigName,SrcName,Type,Depth_m,Dpth-Rck_m,DTRConfid,DrillDate,Easting,Northing,Loc_Acc,Townland,Town,County,SixInShtNo,SourceUse,YldClass,ProdClass,Yield_m3d,Abstr_m3d,Ovrflw_m3d,AbstrDDm,SC_m3dm,cas1dia_mm,Wtrstrk1_m,Wtrstrk2_m,Wtrstrk3_m,Wtrstrk4_m,Wtrloss1_m,GenComms,DrillComms,CasingComs,DEPTH
2623NEW351,BH289,Westmeath County Council,Borehole,22.0,,Bedrock Not Met,15/02/2001,277140,240300,to 10m,JOHNSTOWN,,Meath,48,,,,,,,,,,5.0,6.2,,,,"Drilled by Norwest Holst Soil Engineering Ltd
Consultants MCOS",,,1to50m
2623NEW352,BH290,Westmeath County Council,Borehole,30.5,29.1,Bedrock Met,20/02/2001,277120,240290,to 10m,JOHNSTOWN,,Meath,48,,,,,,,,,,4.2,,,,,"Drilled by Norwest Holst Soil Engineering Ltd
Consultants MCOS",,,1to50m
2623NEW353,BH291,Westmeath County Council,Borehole,20.0,,Bedrock Not Met,22/02/2001,277100,240270,to 10m,JOHNSTOWN,,Meath,48,,,,,,,,,,2.5,4.7,,,,"Drilled by Norwest Holst Soil Engineering Ltd
Consultants MCOS",,,1to50m
2623NEW354,P100,Westmeath County Council,Borehole,3.1,,Bedrock Not Met,18/05/2000,277110,240280,to 10m,JOHNSTOWN,,Meath,48,,,,,,,,,,1.1,,,,,"Driller Geotech by shell & auger
Consultants MCOS",N4 investigation,,1to50m
2623NEW355,P100A,Westmeath County Council,Borehole,27.0,26.8,Bedrock Met,28/05/2000,277110,240280,to 10m,JOHNSTOWN,,Meath,48,,,,,,,,,,,,,,,"Drilled by Geotech
Consultants MCOS",N4 investigation,,1to50m
2623NEW356,P101,Westmeath County Council,Borehole,5.7,,Bedrock Not Met,17/05/2000,277130,240290,to 10m,JOHNSTOWN,,Meath,48,,,,,,,,,,4.8,,,,,"Driller Geotech by shell & auger
Consultants MCOS",N4 investigation,,1to50m
2623NEW357,P101A,Westmesth County Council,Borehole,21.8,,Bedrock Not Met,07/06/2000,277120,240290,to 10m,JOHNSTOWN,,Meath,48,,,,,,,,,,,,,,,"Drilled by Geotech by wireline rotary
Consultants MCOS",N4 investigation,,1to50m
2623NEW358,P102,Westmeath County Council,Borehole,16.6,,Bedrock Not Met,22/05/2000,277160,240300,to 10m,JOHNSTOWN,,Meath,48,,,,,,,,,,3.2,9.5,,,,"Drilled by Geotech by shell & auger/rotary
Consultants MCOS",,,1to50m
2623NEW359,P102A,Westmeath County Council,Borehole,27.0,,Bedrock Not Met,29/05/2000,277170,240290,to 10m,JOHNSTOWN,,Meath,48,,,,,,,,,,2.0,14.5,,,,"Drilled by Geotech by rotary ODEX
Consultants MCOS",N4 investigation,,1to50m
2625NWW001,PW 1,Meath Co. Council,Borehole,61.0,6.5,Bedrock Met,01/03/1985,272490,263270,to 10m,TOWN PARKS,ATHBOY,Meath,29,Public supply (Co Co),Excellent,I,1080.0,1080.0,,1.1,800.0,,,,,,,Hard black limestone from 10m,,,1to50m
2623NEW001,,,Dug well,6.0,,Bedrock Not Met,,277440,248700,to 20m,KILBALLYPORTER,,Meath,42,Other,,,,,,,,,,,,,,EIS (environmental impact state) survey REEF LIMESTONE,,,1to50m
2623NEW002,,,Borehole,55.0,10.0,,01/01/1991,277440,248730,to 20m,KILBALLYPORTER,,Meath,42,Agri & domestic use,,,,,,,,,,,,,,Artesian well initally.REEFL/S,,,1to50m
2623NEW003,,,Borehole,17.0,,DTB Unknown,,277000,248630,to 20m,CORBALLIS,,Meath,42,Domestic use only,,,,,,,,,,,,,,EIS well survey REEF LS,,,1to50m
2623NEW004,,,Borehole,15.0,,DTB Unknown,,276910,248650,to 20m,TOBERTYNAN,,Meath,42,Domestic use only,,,,,,,,,,,,,,EIS well survey REEF LS,,,1to50m
2623NEW005,,,Borehole,27.0,,DTB Unknown,,276860,248640,to 20m,TOBERTYNAN,,Meath,42,Domestic use only,,,,,,,,,,,,,,EIS well survey Reef Lst,,,1to50m
2623NEW006,,,Borehole,30.0,4.0,Bedrock Met,,276840,248580,to 20m,CORBALLIS,,Meath,42,,,,,,,,,,,,,,,"artesian initially, EIS well survey REEF LS",,,1to50m
2623NEW007,,,Borehole,43.0,,DTB Unknown,,276650,248450,to 20m,CORBALLIS,,Meath,42,Agri & domestic use,,,,,,,,,,,,,,EIS well survey REEF LS,,,1to50m
2623NEW008,,,Borehole,69.0,3.0,Bedrock Met,19/12/1972,276570,248550,to 20m,TOBERTYNAN,,Meath,42,Agri & domestic use,Poor,V,40.0,,,20.4,2.0,,,,,,,"drilled 1965,  EIS well survey Jan '91REEF LS",,,1to50m
2623NEW009,,,Borehole,30.0,,DTB Unknown,01/01/1991,276550,248480,to 20m,CORBALLIS,,Meath,42,Domestic use only,,,,,,,,,,,,,,EIS well survey REEF,,,1to50m
