GSIName,OrigName,SrcName,Type,Depth_m,Dpth-Rck_m,DTRConfid,DrillDate,Easting,Northing,Loc_Acc,Townland,Town,County,SixInShtNo,SourceUse,YldClass,ProdClass,Yield_m3d,Abstr_m3d,Ovrflw_m3d,AbstrDDm,SC_m3dm,cas1dia_mm,Wtrstrk1_m,Wtrstrk2_m,Wtrstrk3_m,Wtrstrk4_m,Wtrloss1_m,GenComms,DrillComms,CasingComs,Depth,,,
1429NWW501,ROBH089,,Borehole,6.5,6.5,Bedrock Presumed,28/09/2001,154470,300320,to 10m,CARRACASTLE,,Mayo,63,Agri & domestic use,,,,,,,,,,,,,,,,,1to50m,,,
0827NEW001,,,Spring,5.0,,DTB Unknown,,99900,284240,to 20m,WESTPORT,,Mayo,88,,Low Spring,,218.0,,,,,,,,,,,unknown,Info from file 2.3.16. Location map included on well card,,1to50m,,,
0831SEW004,MO WG 078,,Borehole,67.1,7.3,Bedrock Met,,109830,314860,to 20m,KINARD,Crossmolina,Mayo,38,Agri & domestic use,Excellent,,545.0,,,,,203.0,,,,,,"Drilled by Boland Bros, Enniscrone",Site map included,"Cavity at 64m
chemical data available",1to50m,,,
1125NEW006,MO WG 008,,Borehole,57.9,4.9,Bedrock Met,,125800,267390,to 20m,CLOONCORMICK,Hollymount,Mayo,110,Agri & domestic use,Poor,II,32.7,,,,109.0,152.0,51.8,,,,,"Drilled by Boland Bros, Enniscrone",Site map included,2 hr test; nil drawdown reported; SC value assumes dd of 0.3m; chemical data available,1to50m,,,
1131SWW001,MO WG 058,,Borehole,22.9,,DTB Unknown,30/05/1998,110180,313800,to 20m,CREEVY,Ballina,Mayo,38,Agri & domestic use,,,,,,,,152.0,,,,,,"Drilled by Dullea, Donegal",Site map included,chemical data available,1to50m,,,
1427NWW502,,,Borehole,88.4,,,,150380,287090,to 20m,CLOONGANNAGH,,Mayo,82,,Poor,V,12.0,,,,0.5,,,,,,,,Data source - Donal Daly's six-inch maps,Probably in Kilbryan Lst (KL Ibbottson map),1to50m,,,
1429NWW008,TW2 (EPA MAY 23),Cloonmore Rooskey GWS,Borehole,61.4,4.0,Bedrock Met,22/11/2001,153140,302190,to 20m,CARROWNTOBER,Charlestown,Mayo,63,Group Scheme,Good,III,180.0,,,17.9,10.1,203.0,,,,,,"Drilled by Dunnes, Dundalk",,,1to50m,,,
1429NWW009,TW 1,Cloonmore / Rooskey GWS,Borehole,103.6,7.2,Bedrock Met,20/11/2001,153230,302110,to 20m,BARROE,,Mayo,63,Group Scheme,Moderate,,76.3,,,,,203.0,2.5,5.0,23.0,39.0,,"Drilled by Dunnes, Dundalk",,"Steel Casing, Max Safe yield: 
32.7m3/day",1to50m,,,
0825NEW001,MO WG 275,,Borehole,91.4,3.1,Bedrock Met,07/09/2001,106210,265340,to 50m,GREENAUN,Tourmakeady,Mayo,116A,Agri & domestic use,Poor,V,16.4,,,,0.2,152.0,67.1,79.3,,,,"Drilled by Tony Lynch, Cappamore","site map included
","72 hr test; chemical data available
Cavities at 67.1m and 79.3m",1to50m,,,
0827NEW002,98-BH-1,,Borehole,80.0,2.7,Bedrock Met,,109470,285090,to 50m,BALLYNAMARROGE,Castlebar,Mayo,89,Public supply (Co Co),Poor,,,,,,,,,,,,,,Site map included in report,"Yield range 15-40m3/d
Cored from 5-80m
Water chemical data available in report",1to50m,,,
