Winery,Address,City,Website,Phone,NWP,App,Cave,Tours,Notes/Labels,,,,,,,,
3 Monkeys,P.O. Box 10366,Napa,www.3monkeyswine.com,313-3800,,Private,,,,,,,,,,,
6 North Cellars,,,www.6northcellars.com,,,Private,,,Wine made in Sonoma?,,,,,,,,
689 Cellars,,,www.689cellars.com,,,,,,,,,,,,,,
12 C Wines,P.O. Box 1251,Rutherford,www.12cwines.com,266-8036,,Private,,,,,,,,,,,
13 Appellations,4006 Silverado Trail,Napa,www.13appellations.com,866 484-4783,X,Private,,,Made at Reynolds Family,,,,,,,,
29 Songs,1668 F Street,Napa,www.29songs.com,738-8108,,Private,,,,,,,,,,,
94574 Wine,,St. Helena,www.94574wine.com,,,Private,,,,,,,,,,,
Abigail Adams Wine Co,P.O. Box 2200,Yountville,www.abigailadamswines.com,944-1132,,Private,,,Adi Rose,,,,,,,,
Abiouness Wine,2041 Olive Avenue St,St. Helena,www.abiounesswines.com,963-1546,,Private,,,,,,,,,,,
Abreu Vineyard,2366 Madrona Road,St. Helena,www.abreuvineyards.com,963-7487,,Private,,,,,,,,,,,
Acacia Winery,2750 Las Amigas Road,Napa,www.acaciavineyard.com,226-9991,X,Yes,,,,,,,,,,,
Ackerman Family Vineyards,2101 Kirkland Ave,Napa,www.ackermanfamilyvineyards.com,226-6696,X,Private,,,,,,,,,,,
Ad Vivum,,,www.advivumcellars.com,,,,,,,,,,,,,,
Adams Ridge Winery,3181 Kingston Avenue ,Napa,www.adamsridgewinery.net,226-3185,,,,,A DOZEN VINTNERS,,,,,,,,
Adam VS,,,www.adamvs.com,,,,,,,,,,,,,,
Adastra Wines,2545 Las Amigas Rd,Napa,www.adastrawines.com,255-4818   ,X,Private,,,"Open only, Carneros Days, NAPA WC",,,,,,,,
Advivium,,,www.advivumcellars.com,,,,,,,,,,,,,,
ADV Winery,,,www.advwinery.com,,,,,,,,,,,,,,
Aetna Springs Cellars,7227 Pope Valley Road    ,Pope Valley,,965-2675          ,X,Yes,,,Website gone 4.10.13,,,,,,,,
A.Faustini,270 Kruezer Lane,Napa,www.afaustini.com,736-6050,X,Private,,,,,,,,,,,
Ahnfeldt Wines,P.O. Box 6078,Napa,www.ahnfeldtwines.com,253-1139,X,,,,"VC, Uncorked Napa",,,,,,,,
Aiken Wines,,,www.aikenwines.com,,,,,,,,,,,,,,
Alante Vineyard,1156 York Lane,St. Helena,www.alantevineyard.com,967-4100,X,Private,,,,,,,,,,,
Alex Soltelo Cellars,4154 Burgandy Way,Napa,www.alexsotelocellars.com,224-5920,,Private,,,# Wine made in Sonoma County,,,,,,,,
Allora Wines,3244 Elhlers Lane,St. Helena,www.allorawines.com,963-6071,X,Yes,,,,,,,,,,,
Alpha Omega Winery,Hwy 29 at 1155 Mee Lane ,Rutherford,www.aowinery.com,942-0167,X,No,,,Old Domain Napa winery,,,,,,,,
Alta ,,,www.altawinery.com,,,,,,,,,,,,,,
Altamura Vineyards & Winery,1700 Wooden Valley Road,Napa,www.altamura.com,253-2000 ,X,Yes,,,,,,,,,,,
Altra,,,www.altrawines.com,,,,,,,,,,,,,,
Amazon Ranch,3738 Linda Vista Ave,Napa,www.amazonranch.com,226-1281,,Private,,,,,,,,,,,
American Roots Winery,4380 Dale Drive,Napa,americanrootswinery.com/main,225-4686,X,Yes,,,,,,,,,,,
Amethyst Winery,1339 Pearl St. Suite #201,Napa,www.amethystwines.com,265-6733   ,,Yes,,,Office only in SLO???,,,,,,,,
Amici Cellars,P.O. Box 399,Rutherford,www.amicicellars.com,967-9560,X,Private,,,Olema is 2nd label,,,,,,,,
Amizetta,1099 Greenfield Rd,St. Helena,www.amizetta.com,963-1460,X,Yes,Yes,,,,,,,,,,
Amour Prive,,,www.amourprive.com,800 800-2073,,Private,,,,,,,,,,,
Amusant Wines,3901 Young Ave,Napa,,255-1105,,Private,,,,,,,,,,,
Amuse Bouche,135 Camino Dorado Ste. 8,Napa,www.amusebouchewine.com,251-9700,,Private,,,"Vin Perdu, 2nd label",,,,,,,,
Analog Wine Co,P.O. Box 2466,Yountville,www.analogwineco.com,968-5131,,Private,,,,,,,,,,,
AnanTaah,,,www.anantaahwine.com,,,,,,,,,,,,,,
Ancien Wines,4047 E. Third Ave,Napa,www.ancienwines.com,255 - 6104,X,Yes,Yes,,"VC, wine made at Whitford Winery",,,,,,,,
Anderson's Conn Valley,680 Rossi Road,St. Helena,www.connvalleyvineyards.com,800 946-3497,X,Yes,Yes,BApp,Ghost Horse,,,,,,,,
Andesite Vineyard,4011 Spring Mountain Road,St. Helena,www.andesitevineyard.com,963-8895,X,Yes,,,,,,,,,,,
Andretti Winery,4162 Big Ranch Road ,Napa,www.andrettiwinery.com,259-6777,X,No,,BApp,,,,,,,,,
Andrew Geoffrey Vineyard,836 Chiles Avenue,St. Helena,www.andrewgeoffrey.com,968-9770,X,Yes,,,,,,,,,,,
Andrew Lane Winery,742 Sunnyside Road,St. Helena,www.andrewlanewines.com,815-3501,X,Yes,,,"# Production & Tasting room, Emeryville",,,,,,,,
Anomaly Vineyards,P.O. Box 741,St. Helena,www.anomalyvineyards.com,967-8448,X,Private,,,,,,,,,,,
Anthem,,,www.anthemwinery.com,,,,,,,,,,,,,,
Antica Napa Valley,3149 Soda Canyon Road,Napa,www.anticanapavalley.com,265-8866,X,Private,,,,,,,,,,,
Aonair Wine,P.O. Box 6048,Napa,www.aonairwine.com,363-0680,X,Private,,,Blue Oak Vineyard,,,,,,,,
Apsara Cellars,,,www.apsaracellars.com,,,,,,,,,,,,,,
Araujo Estate Wines,2155 Pickett Road,Calistoga,www.araujoestate.com,942-6061,X,Private,,,,,,,,,,,
Ardente Winery,2929 Atlas Peak Road,Napa,www.ardentewinery.com,226-7669,X,Private,,,Trade can visit,,,,,,,,
Arger-Martucci Vineyards,1455 Inglewood Avenue ,St. Helena,www.arger-martucci.com,963-4334,X,No,,BApp,,,,,,,,,
Arietta,3468 Silverado Trail,Oakville,www.arietta-wine.com,963-5918,X,Private,,,Fritz or Mary,,,,,,,,
Arkenstone Winery,335 West Lane,Angwin,www.arkenstonewine.com,888-6549,X,Private,Yes,,,,,,,,,,
Armstrong Ranch,30 Kortum Canyon Road,Calistoga,www.armstrongranchwines.com,942-4488,,Private,,,,,,,,,,,
Arns Winery,P.O. Box 652,St. Helena,www.arnswinery.com,963-3429,X,Yes,,,,,,,,,,,
Arrow & Branch,3003 Hagen Road,Napa,www.arrowandbranch.com,927-3640,,Private,,,,,,,,,,,
Art+Farm Wine,2185 Silverado Trail,Napa,www.artfarmwine.com,927-4343,,Private,,,Circadia,,,,,,,,
Artesa Winery,1345 Henry Road ,Napa,www.artesawinery.com,224-1668,X,No,,Yes,,,,,,,,,
Astrale e Terra,5017 Silverado Trail,Napa,www.astraleeterra.com,255-1134,X,Private,,,,,,,,,,,
Atalon Winery,3299 Bennett Lane ,Calistoga,www.atalon.com,800 224-4090,X,Yes,,,,,,,,,,,
Atlas Peak,3700 Soda Canyon Road ,Napa,www.atlaspeak.com,252-7971,X,Yes,,,# Wine made in Sonoma,,,,,,,,
Au Sommet,135 Camino Dorado,Napa,www.ausommetwine.com,251-9300,,Private,,,,,,,,,,,
Aubert Wines,333 Silverado Trail,Calistoga,www.aubertwines.com,963-4569,,Private,,,,,,,,,,,
August Briggs,1307-B Lincoln Avenue,Calistoga,www.augustbriggswines.com,942-4912,X,No,,,"# Wine made in Sonoma, J. Gordon Wine",,,,,,,,
Aum Cellars,P.O. Box 774,Napa,www.aumcellars.com,266-8803,X,Private,,,Hoffman Family Wines,,,,,,,,
Aurielle Vineyard,3273 Claremont Way #209,Napa,www.auriellevineyard.com,,,Private,,,Website down 7.12.13,,,,,,,,
Axios,9198 Red Branch Rd. St. H,Columbia MD,www.axioswine.com,410 309-9463,,Private,,,"MD wine wholesaler, Worthy Label",,,,,,,,
Azur Wines,2537 Main Street,Napa,www.azurwines.com,812-4203,,Private,,,Mostly non Napa fruit,,,,,,,,
B. Kosuge Wines,P.O. Box 5413,Napa,www.bkosugewines.com,738-8396,,Private,,,,,,,,,,,
B Cellars,400 Silverado Trail,Calistoga,www.bcellars.com,709-8787,X,,,,,,,,,,,,
Bacio-Divino,P.O. Box 131,Rutherford,www.baciodivino.com,942-8101,X,Private,,,Janzen label,,,,,,,,
Balcom Family Cellars,,,www.balcomcellars.com,968-0900,,Private,,,,,,,,,,,
Baldacci Vineyards,6236 Silverado Trail,Yountville,www.baldaccivineyards.com,944-9261,X,No,Yes,,Four Sons,,,,,,,,
Ballentine Vineyards,2820 St. Helena Highway N,St. Helena,www.ballentinevineyards.com,963-7919,X,No,,,,,,,,,,,
Banknote Wines,P.O. Box 2535,Napa,www.banknotewines.com,815-8453,,Private,,,,,,,,,,,
Barbour Vineyards,975 Vintage Ave Ste. D,St. Helena,www.barbourvineyards.com,963-0540,X,Private,,,,,,,,,,,
Bardessono Vineyards,1901 Finnell Road,Yountville,www.bardessonovineyards.com,815-2502,X,Private,,,,,,,,,,,
Barlow Vineyards,4411 Silverado Trail ,Calistoga,www.barlowvineyards.com,942-8742,X,Yes,,,,,,,,,,,
Barnett Vineyards,4070 Spring Mountain Road ,St. Helena,www.barnettvineyards.com,963-7075,X,Yes,,BApp,,,,,,,,,
Barrett & Barrett Wines,,Calistoga,www.barrettwines.com,,,,,,,,,,,,,,
Bartalotti Wine Company,P.O. Box 6992,Napa,www.bartalotti.com,927-4122,,Private,,,50/50 Napa/Sonoma,,,,,,,,
Baxter,P.O. Box 4261,St. Helena,www.baxterwinery.com,963-0121,,Private,,,Philippe-Lorraine,,,,,,,,
Beau Vigne,P.O. Box 6412,Napa,www.beauvigne.com,265-7781,X,Private,,,"Tasting Room, Yountville",,,,,,,,
Beaucanon Estate,1006 Monticello Road,Napa,www.beaucanonestate.com,254-1460,X,Private,,,Website down 4.10.13,,,,,,,,
Beaulieu Vineyard (BV),1960 St. Helena Highway ,Rutherford,www.bvwines.com,967-5230,X,No,,Yes,,,,,,,,,
Bell Wine Cellars,6200 Washington Street,Yountville,www.bellwine.com,944-1673 ,X,Yes,,,,,,,,,,,
Bella Vetta Vineyards,896 Ponderosa Drive,Angwin,www.bellavetta.com,965-0801,,Private,,,Jac Cole,,,,,,,,
Bello Family Vineyards,929 Main Street,St. Helena,www.bellofamilyvineyards.com,967-8833,X,No,,,,,,,,,,,
Belo Wine Co,P.O. Box 175,St. Helena,www.belowine.com,967-9661,X,Private,,,"Desert Wines, Port",,,,,,,,
Benessere Vineyards,1010 Big Tree Road,St. Helena,www.benesserevineyards.com,963-5853,X,Yes,,BApp,,,,,,,,,
Bennett Lane Winery,3340 Highway 128 ,Calistoga,www.bennettlane.com,942-6684,X,No,,BApp,,,,,,,,,
Beringer,2000 Main St ,St. Helena,www.beringer.com,967-4412,X,No,Yes,Yes,Submerce Cellars,,,,,,,,
Bevan Cellars,3900 Matanzas Creek Ln,Santa Rosa,www.bevancellars.com,332-2918,,Private,,,"# Mostly Napa fruit, wine made in SonomaC",,,,,,,,
Bex of Napa,,Napa,www.bexofnapa.com,,,Private,,,,,,,,,,,
Barrelhead,P.O. Box 10636,Napa,www.barrelheadwine.com,257-3950,,Private,,,Jules Melange Wine,,,,,,,,
Big Vines,,,www.bigvinewines.com,,,,,,,,,,,,,,
Bjorn,,,www.bjornvineyards.com,,,,,,,,,,,,,,
Black Cat Vineyard,1075 Shadybrook Lane,Napa,www.blackcatvineyard.com,321-0866,X,Yes,,,At Star Hill Winery,,,,,,,,
Black Cordon Vineyard,4155 Dry Creek Road,Napa,www.blackcordonvineyard.com,226-6860,,Private,,,50/50 Napa/Sonoma,,,,,,,,
Black Coyote Chateau,2400 Third Street,Napa,www.blackcoyotewines.com,252-2292,X,Private,,,,,,,,,,,
Black Sears Winery,2615 Summit Lake Drive,Angwin,www.blacksears.com,963-1334,X,Private,,,,,,,,,,,
Black Stallion,4089 Silverado Trail,Napa,www.blackstallionwinery.com,253-1400,X,No,,,,,,,,,,,
Blackbird Vineyards,5033 Big Ranch Road,Napa,www.blackbirdvineyards.com,252-4444,X,,,,"NAPA WINE CO, MA(I)SONRY",,,,,,,,
Blankiet Estate,P.O. Box 2100,Yountville,www.blankiet.com,963-2001,X,Private,Yes,,,,,,,,,,
Blue Hall Vineyard,White Cottage Lane,Angwin,www.bluehallvineyard.com,888 700-4114,X,Private,,,,,,,,,,,
Boeschen Vineyards,3242 Silverado Trail,St. Helena,www.boeschenvineyards.com,963-3674,X,Private,Yes,,,,,,,,,,
Bolen Vineyards,3277 Dry Creek Road,Napa,www.bolenlegacy.com,812-4908,X,Yes,,,,,,,,,,,
BonAnno Wine,,,www.bonannowine.com,,,Private,,,,,,,,,,,
Bond Estates,P.O. Box 4261,Oakville,www.bondestates.com,944-9445,,Private,Yes,,,,,,,,,,
Boodeaux Vineyards,1965 Capell Valley Road,Napa,http://boodeaux.blogspot.com/,258-8687,X,Private,,,,,,,,,,,
Bouchaine Vineyards,1075 Buchli Station Road ,Napa,www.bouchaine.com,252-9065,X,No,,BApp,,,,,,,,,
